PELAAJA,JOUKKUE,O,M,S,P,R,+,-,+/-,L,L%,kausi
Penicka Matej,ErVi,33,26,19,45,12,57,103,-46,249,10.4,2023-2024
Viitakoski Valtteri,KrP,32,26,18,44,2,80,47,33,123,21.1,2023-2024
Salmi Markus,Happee,31,26,18,44,12,64,61,3,234,11.1,2023-2024
Kinnunen Olli,OLS,31,18,24,42,6,72,63,9,141,12.8,2023-2024
Auvinen Jasper,Indians,33,25,17,42,12,73,44,29,206,12.1,2023-2024
Haukkala Konsta,SPV,32,27,15,42,22,77,63,14,263,10.3,2023-2024
Ahola Juuso,KrP,26,17,24,41,8,62,36,26,111,15.3,2023-2024
Astala Aaro,Oilers,23,21,20,41,6,56,40,16,156,13.5,2023-2024
Jonaeson Nico,KrP,33,11,29,40,6,83,57,26,93,11.8,2023-2024
Junnila Samuli,Indians,31,27,13,40,14,61,44,17,212,12.7,2023-2024
Koski Sami,SPV,33,7,32,39,2,38,29,9,63,11.1,2023-2024
Vesterinen Waltteri,TPS,33,21,18,39,12,63,54,9,179,11.7,2023-2024
Eloluoto Lauri,TPS,32,25,14,39,8,64,48,16,141,17.7,2023-2024
Kainulainen Valtteri,Indians,30,24,14,38,4,69,59,10,136,17.6,2023-2024
Laiti Niko,Happee,33,25,11,36,36,58,53,5,147,17.0,2023-2024
Niemelä Jere,TPS,31,15,19,34,32,83,57,26,190,7.9,2023-2024
Havula Tatu,LASB,33,12,21,33,2,63,78,-15,108,11.1,2023-2024
Ahokas Aleksi,TPS,29,21,12,33,8,61,30,31,73,28.8,2023-2024
Pelto-Arvo Jukka-Pekka,SPV,32,24,8,32,4,39,37,2,95,25.3,2023-2024
Mäkinen Miska,KrP,32,11,20,31,2,88,62,26,50,22.0,2023-2024
Ojala Tuomas,TPS,33,12,19,31,16,65,57,8,105,11.4,2023-2024
Salokangas Tiitus,LASB,32,16,15,31,4,49,68,-19,169,9.5,2023-2024
Savela Iiro,OLS,31,17,14,31,12,62,58,4,133,12.8,2023-2024
Hankkio Jari,Jymy,23,11,19,30,48,36,34,2,104,10.6,2023-2024
Auranen Leevi,Indians,33,13,17,30,10,70,60,10,94,13.8,2023-2024
Kekki Juuso,Indians,32,15,14,29,4,59,42,17,87,17.2,2023-2024
Äijälä Niklas,Jymy,33,14,14,28,8,62,59,3,78,17.9,2023-2024
Surakka Joonatan,LASB,30,14,14,28,6,61,69,-8,102,13.7,2023-2024
Minkkinen Matti,Happee,32,18,10,28,4,57,45,12,143,12.6,2023-2024
Möttönen Juuso,ErVi,33,20,8,28,6,63,102,-39,125,16.0,2023-2024
Huppunen Jesse-Samuli,Indians,23,9,18,27,2,57,58,-1,74,12.2,2023-2024
Lindfors Santeri,Oilers,32,11,16,27,6,59,29,30,70,15.7,2023-2024
Laaksonen Nikolas,FBC,33,12,15,27,24,42,98,-56,109,11.0,2023-2024
Karjula Joona,OLS,33,17,10,27,8,75,57,18,107,15.9,2023-2024
Karjanlahti Eero,SPV,32,17,10,27,18,51,56,-5,125,13.6,2023-2024
Junkkarinen Jonne,Happee,32,10,16,26,38,70,62,8,79,12.7,2023-2024
Vaarala Karri,Jymy,33,16,10,26,4,57,63,-6,188,8.5,2023-2024
Johansson Henri,KrP,32,16,10,26,4,58,42,16,85,18.8,2023-2024
Sipronen Markus,Happee,31,11,14,25,26,68,64,4,71,15.5,2023-2024
Tammiranta Aaro,SPV,32,15,10,25,6,48,49,-1,82,18.3,2023-2024
Tuononen verneri,FBC,28,17,8,25,16,36,72,-36,108,15.7,2023-2024
Mäenpää Matias,Jymy,33,20,5,25,16,55,60,-5,210,9.5,2023-2024
Suomela Antti,Oilers,32,8,16,24,6,81,53,28,82,9.8,2023-2024
Markkola Markus,Oilers,20,8,16,24,8,41,20,21,58,13.8,2023-2024
Salminen Toni,Classic,30,10,14,24,2,77,35,42,57,17.5,2023-2024
Koskinen Albert,Classic,31,12,12,24,14,41,26,15,125,9.6,2023-2024
Laitila Alpo,Classic,33,8,15,23,4,98,47,51,46,17.4,2023-2024
Laine Olli-Akseli,TPS,26,12,11,23,24,45,51,-6,121,9.9,2023-2024
Heiska Ville,Happee,33,16,7,23,2,46,40,6,92,17.4,2023-2024
Kurkikangas Atte,FBC,29,17,6,23,4,31,76,-45,85,20.0,2023-2024
Einiö Niko,LASB,27,20,3,23,28,41,61,-20,150,13.3,2023-2024
Suhanto Eppu,Happee,33,9,13,22,4,68,61,7,105,8.6,2023-2024
Tiltins Krisjanis,FBC,26,15,7,22,12,28,69,-41,120,12.5,2023-2024
Ukkonen Eemil,KrP,29,6,15,21,4,67,38,29,26,23.1,2023-2024
Hemerka Adam,Classic,30,7,14,21,22,78,43,35,89,7.9,2023-2024
Laasonen Roni,Happee,24,10,11,21,10,47,42,5,114,8.8,2023-2024
Juuti Jasper,LASB,31,14,7,21,2,31,59,-28,126,11.1,2023-2024
Eklund Alex,TPS,28,15,6,21,2,41,27,14,76,19.7,2023-2024
Akola Eemeli,Classic,33,3,17,20,10,100,44,56,47,6.4,2023-2024
Ollikainen Aaro,FBC,31,6,14,20,8,44,84,-40,83,7.2,2023-2024
Autio Janne,SPV,32,10,10,20,4,49,51,-2,41,24.4,2023-2024
Wikstedt Olli,OLS,31,10,10,20,12,72,66,6,75,13.3,2023-2024
Lindholm Joonatan,Indians,33,11,9,20,8,70,50,20,85,12.9,2023-2024
Sillanpää Oliver,ErVi,20,14,6,20,4,18,54,-36,90,15.6,2023-2024
Stenfors Lauri,TPS,30,7,12,19,6,68,34,34,37,18.9,2023-2024
Tykkyläinen Konsta,Classic,32,10,9,19,6,95,41,54,120,8.3,2023-2024
Sorvali Eetu,Oilers,32,14,5,19,4,37,25,12,71,19.7,2023-2024
Lindfors Jesperi,Oilers,25,6,12,18,0,61,22,39,37,16.2,2023-2024
Nivala Tino,LASB,33,9,9,18,4,61,75,-14,77,11.7,2023-2024
Lillas Didrik,SPV,33,9,9,18,6,36,19,17,56,16.1,2023-2024
Kauppinen Pyry,TPS,24,9,9,18,8,36,23,13,61,14.8,2023-2024
Rintala Toni,Indians,28,11,7,18,6,32,32,0,76,14.5,2023-2024
Tenhonen Daniel,ErVi,33,13,5,18,12,37,89,-52,99,13.1,2023-2024
Juuranto Matias,Oilers,18,13,5,18,6,30,7,23,55,23.6,2023-2024
Kinnunen Teuvo,Happee,28,11,6,17,4,23,23,0,77,14.3,2023-2024
Pasanen Rasmus,Indians,24,11,6,17,8,39,31,8,83,13.3,2023-2024
Harjula Tuomas,Indians,33,1,15,16,0,64,49,15,50,2.0,2023-2024
Sikkinen Eetu,Classic,22,7,9,16,12,63,26,37,50,14.0,2023-2024
Rauhala Jani,Indians,24,8,8,16,18,53,47,6,77,10.4,2023-2024
Liponen Vili,KrP,19,9,7,16,4,40,19,21,42,21.4,2023-2024
Hoikkanen Janne,TPS,32,10,6,16,6,59,35,24,65,15.4,2023-2024
Roth Anton,Indians,31,10,6,16,8,36,7,29,34,29.4,2023-2024
Sariola Eetu,Jymy,29,13,3,16,24,25,47,-22,91,14.3,2023-2024
Rautakoura Ville,Indians,31,8,7,15,2,60,17,43,65,12.3,2023-2024
Järvikangas Viljami,SPV,31,11,4,15,24,67,47,20,39,28.2,2023-2024
Lehtonen Konsta,LASB,18,12,3,15,10,21,21,0,63,19.0,2023-2024
Rautio Petro,Jymy,33,1,13,14,4,52,46,6,36,2.8,2023-2024
Wiander Tommi,ErVi,33,4,10,14,20,60,96,-36,66,6.1,2023-2024
Vaarala Kalle,Jymy,33,8,6,14,20,45,63,-18,98,8.2,2023-2024
Nykänen Eetu,Oilers,32,4,9,13,14,61,38,23,64,6.3,2023-2024
Sulander Jere,LASB,33,7,6,13,6,24,54,-30,82,8.5,2023-2024
Griezitis Gustavs,FBC,32,8,5,13,36,35,72,-37,83,9.6,2023-2024
Vänttilä Kimi,OLS,33,9,4,13,4,31,52,-21,65,13.8,2023-2024
Hakola Jesper,OLS,23,9,4,13,4,24,26,-2,52,17.3,2023-2024
Hietaranta Ville,Classic,33,10,3,13,8,25,22,3,58,17.2,2023-2024
Latvala Miika,SPV,32,4,8,12,2,53,58,-5,34,11.8,2023-2024
Parviainen Valtteri,OLS,28,5,7,12,4,22,29,-7,62,8.1,2023-2024
Tuominen Sami,FBC,25,5,7,12,6,28,55,-27,56,8.9,2023-2024
Niemelä Petri,OLS,33,6,6,12,6,22,26,-4,30,20.0,2023-2024
Lahti Joel,Happee,33,6,6,12,6,63,68,-5,55,10.9,2023-2024
Alatalo Pieti,Indians,33,6,6,12,30,53,22,31,63,9.5,2023-2024
Forsman Juuso,FBC,31,6,6,12,6,30,94,-64,136,4.4,2023-2024
Raappana Atte,LASB,33,7,5,12,6,60,71,-11,73,9.6,2023-2024
Kilpi Otto,Classic,30,7,5,12,38,30,23,7,47,14.9,2023-2024
Veikkola Matias,Oilers,21,7,5,12,6,45,28,17,37,18.9,2023-2024
Reunamäki Riku,Oilers,31,10,2,12,20,31,13,18,33,30.3,2023-2024
Välitalo Anssi,OLS,31,3,8,11,4,24,30,-6,24,12.5,2023-2024
Ijäs Eetu,OLS,30,3,8,11,8,30,50,-20,55,5.5,2023-2024
Uusi-Laitila Santeri,SPV,33,4,7,11,8,58,43,15,47,8.5,2023-2024
Koskinen Joonas,TPS,31,4,7,11,10,40,38,2,49,8.2,2023-2024
Puntanen Eetu,Jymy,33,7,4,11,10,22,33,-11,52,13.5,2023-2024
Lindroos Yannick,FBC,22,7,4,11,4,24,41,-17,50,14.0,2023-2024
Mattila Jere,KrP,29,8,3,11,8,58,41,17,56,14.3,2023-2024
Lassila Jussi,Jymy,20,9,2,11,2,27,23,4,45,20.0,2023-2024
Tenhonen Benjamin,ErVi,33,2,8,10,14,23,70,-47,57,3.5,2023-2024
Santanen Mikko,SPV,25,3,7,10,0,25,40,-15,30,10.0,2023-2024
Ruonakangas Riku,OLS,32,4,6,10,10,20,28,-8,72,5.6,2023-2024
Kotka Timi,Happee,32,4,6,10,6,15,13,2,42,9.5,2023-2024
Malkavs Jorens,KrP,28,4,6,10,4,13,10,3,26,15.4,2023-2024
Pylväläinen Arttu,Happee,25,4,6,10,0,40,21,19,33,12.1,2023-2024
Simonen Topias,KrP,32,5,5,10,8,31,20,11,37,13.5,2023-2024
Paulaharju Simo,KrP,31,5,5,10,4,18,11,7,56,8.9,2023-2024
Näveri Vili,LASB,31,5,5,10,4,22,56,-34,42,11.9,2023-2024
Pöyhtäri Akseli,OLS,20,7,3,10,4,17,18,-1,73,9.6,2023-2024
Silvonen Jesper,Oilers,19,7,3,10,2,16,13,3,33,21.2,2023-2024
Kallio Matias,FBC,31,8,2,10,2,21,53,-32,74,10.8,2023-2024
Jokela Olli,Oilers,31,2,7,9,4,29,16,13,30,6.7,2023-2024
Lehtonen Eetu,TPS,31,5,4,9,4,32,22,10,31,16.1,2023-2024
Kauppila Oskari,Jymy,33,6,3,9,8,24,40,-16,48,12.5,2023-2024
Aarela Ilmari,ErVi,32,2,6,8,6,21,66,-45,42,4.8,2023-2024
Heikkilä Jeri,SPV,33,4,4,8,10,53,38,15,72,5.6,2023-2024
Alkki Lauri,KrP,33,4,4,8,4,39,32,7,23,17.4,2023-2024
Siekkinen Kaapo,Happee,12,4,4,8,0,22,24,-2,56,7.1,2023-2024
Arkkila Olli,KrP,32,5,3,8,10,30,25,5,51,9.8,2023-2024
Koivisto Lassi,ErVi,32,6,2,8,8,10,47,-37,51,11.8,2023-2024
Lamminen Janne,Classic,28,6,2,8,10,29,28,1,32,18.8,2023-2024
Piskacek Bohumil,ErVi,33,1,6,7,8,26,69,-43,72,1.4,2023-2024
Remes Christian,Indians,20,1,6,7,2,19,23,-4,76,1.3,2023-2024
Niemelä Marius,Happee,18,1,6,7,2,23,30,-7,22,4.5,2023-2024
Viitanen Joonas,FBC,15,1,6,7,4,12,42,-30,33,3.0,2023-2024
Jaanus Janne,LASB,32,2,5,7,2,30,53,-23,43,4.7,2023-2024
Rantaniemi Aapo,OLS,19,2,5,7,6,18,24,-6,26,7.7,2023-2024
Kerola Jacob,ErVi,33,3,4,7,6,20,60,-40,33,9.1,2023-2024
Virrankari Olli-Matti,OLS,29,3,4,7,0,26,39,-13,18,16.7,2023-2024
Pekari Elias,Oilers,26,4,3,7,2,20,12,8,40,10.0,2023-2024
Hyrkkönen Kim,KrP,23,4,3,7,4,24,11,13,67,6.0,2023-2024
Helin Vilho,Classic,17,4,3,7,0,20,33,-13,41,9.8,2023-2024
Ylitalo Eemil,OLS,17,5,2,7,6,17,22,-5,34,14.7,2023-2024
Koskinen Juho,TPS,28,1,5,6,6,16,10,6,10,10.0,2023-2024
Tähkä Kasper,Happee,25,1,5,6,2,23,23,0,18,5.6,2023-2024
Dumpis Markuss,Indians,7,1,5,6,0,8,2,6,8,12.5,2023-2024
Haataja Elias,TPS,31,2,4,6,4,20,17,3,14,14.3,2023-2024
Siegfried Noé,Jymy,24,2,4,6,2,9,11,-2,19,10.5,2023-2024
Nyman Elias,Jymy,18,2,4,6,0,12,16,-4,16,12.5,2023-2024
Saari Arttu,Jymy,32,4,2,6,16,41,53,-12,44,9.1,2023-2024
Wingren Elliot,FBC,27,4,2,6,2,9,34,-25,46,8.7,2023-2024
Niskanen Sami,Indians,27,4,2,6,6,27,23,4,31,12.9,2023-2024
Koljonen Perttu,Happee,24,5,1,6,4,14,18,-4,49,10.2,2023-2024
Pirhonen Elias,ErVi,33,0,5,5,0,39,62,-23,55,0.0,2023-2024
Laakso Markus,Oilers,33,0,5,5,0,0,0,0,0,-,2023-2024
Mertaniemi Väinö,OLS,29,1,4,5,6,20,36,-16,34,2.9,2023-2024
Repo Juho,SPV,25,1,4,5,0,16,19,-3,26,3.8,2023-2024
Saarela Miko,Jymy,32,2,3,5,14,27,46,-19,16,12.5,2023-2024
Wikström Roope,Jymy,31,2,3,5,4,25,36,-11,29,6.9,2023-2024
Hutzli Stefan,Happee,27,2,3,5,0,32,33,-1,30,6.7,2023-2024
Tiainen Tuomas,ErVi,33,3,2,5,10,11,35,-24,28,10.7,2023-2024
Järvinen Perttu,Oilers,30,3,2,5,4,23,17,6,26,11.5,2023-2024
Forss Onni,Indians,22,3,2,5,0,31,9,22,13,23.1,2023-2024
Lokasaari Aapo,SPV,32,4,1,5,6,27,23,4,39,10.3,2023-2024
Varjokumpu Juuso,FBC,31,0,4,4,0,29,78,-49,57,0.0,2023-2024
Pentikäinen Miikka,LASB,31,0,4,4,34,22,52,-30,19,0.0,2023-2024
Hakala Tommi,Jymy,30,1,3,4,2,22,33,-11,45,2.2,2023-2024
Vähäkangas Johannes,FBC,29,1,3,4,8,15,50,-35,41,2.4,2023-2024
Salokangas Julius,LASB,28,1,3,4,0,21,40,-19,30,3.3,2023-2024
Lindstedt Tino,LASB,23,1,3,4,0,9,16,-7,10,10.0,2023-2024
Harmaala Aatu,LASB,12,1,3,4,0,6,10,-4,29,3.4,2023-2024
Talvitie Ilari,Oilers,20,2,2,4,0,32,15,17,32,6.3,2023-2024
Hämäläinen Miika,FBC,19,2,2,4,0,12,24,-12,7,28.6,2023-2024
Ahola Vili,LASB,30,0,3,3,0,18,54,-36,28,0.0,2023-2024
Honkonen Arttu,SPV,27,0,3,3,0,16,12,4,4,0.0,2023-2024
Larte Joona,Oilers,23,0,3,3,0,22,16,6,11,0.0,2023-2024
Kuisma Niklas,Happee,32,1,2,3,4,15,20,-5,23,4.3,2023-2024
Rannanjärvi Jaakko,FBC,30,1,2,3,2,18,58,-40,58,1.7,2023-2024
Salminen Sami,LASB,26,1,2,3,0,9,14,-5,16,6.3,2023-2024
Laine Lauri,FBC,20,1,2,3,4,14,42,-28,22,4.5,2023-2024
Nyman Alexander,SPV,15,1,2,3,6,13,9,4,7,14.3,2023-2024
Rantala Peetu,LASB,31,2,1,3,6,10,36,-26,21,9.5,2023-2024
Virtanen Viljami,Classic,25,2,1,3,0,12,7,5,14,14.3,2023-2024
Haudanlampi Tuukka,OLS,13,2,1,3,4,6,15,-9,6,33.3,2023-2024
Lähdesmäki Lassi,FBC,10,2,1,3,2,4,9,-5,11,18.2,2023-2024
Haapala Arttu,Oilers,9,2,1,3,2,7,7,0,12,16.7,2023-2024
Salminen Olli,ErVi,5,2,1,3,0,4,11,-7,11,18.2,2023-2024
Karkulowski Emil,LASB,26,3,0,3,2,14,34,-20,28,10.7,2023-2024
Virolainen Luukas,OLS,13,3,0,3,0,2,16,-14,13,23.1,2023-2024
Karjalainen Aki,Jymy,32,0,2,2,4,0,1,-1,0,-,2023-2024
Ojanperä Aleksi,Jymy,24,0,2,2,2,4,10,-6,5,0.0,2023-2024
Koistinen Eero,ErVi,19,0,2,2,2,2,12,-10,11,0.0,2023-2024
Kärki Santeri,ErVi,18,0,2,2,2,3,12,-9,11,0.0,2023-2024
Mäenpää Eero,Jymy,14,0,2,2,4,7,12,-5,7,0.0,2023-2024
Hoikkala Jussi,FBC,10,0,2,2,4,9,25,-16,6,0.0,2023-2024
Hiltunen Aleksi,FBC,33,1,1,2,8,22,63,-41,20,5.0,2023-2024
Palvaila Lauri,Oilers,29,1,1,2,6,29,17,12,18,5.6,2023-2024
Moislahti Rasmus,FBC,27,1,1,2,4,17,32,-15,13,7.7,2023-2024
Laukkanen Jarno,KrP,18,1,1,2,2,5,4,1,6,16.7,2023-2024
Haavisto Aapo,SPV,13,1,1,2,2,7,5,2,1,100.0,2023-2024
Junkkari Jonatan,Indians,11,1,1,2,0,7,3,4,5,20.0,2023-2024
Aho Tuomas,ErVi,7,1,1,2,6,1,8,-7,9,11.1,2023-2024
Harjula Eero,Indians,2,1,1,2,0,3,0,3,1,100.0,2023-2024
Rantala Juho,LASB,23,2,0,2,0,4,30,-26,29,6.9,2023-2024
Koivisto Aatu,TPS,17,2,0,2,0,7,11,-4,19,10.5,2023-2024
Okkonen Roope,OLS,11,2,0,2,0,12,15,-3,9,22.2,2023-2024
Kirvesniemi Mikko,Indians,33,0,1,1,0,0,1,-1,1,0.0,2023-2024
Kantonen Kasperi,TPS,32,0,1,1,0,3,2,1,5,0.0,2023-2024
Rantaniemi Iiro,OLS,31,0,1,1,0,0,0,0,0,-,2023-2024
Toriseva Lassi,Classic,30,0,1,1,4,1,0,1,0,-,2023-2024
Panuma Riku,OLS,27,0,1,1,0,0,0,0,0,-,2023-2024
Pohjonen Santtu,LASB,25,0,1,1,0,0,0,0,0,-,2023-2024
Tuononen Roni,KrP,24,0,1,1,0,0,0,0,0,-,2023-2024
Salo Tuukka,Classic,23,0,1,1,2,10,9,1,11,0.0,2023-2024
Vaajala Matias,Classic,20,0,1,1,0,4,11,-7,13,0.0,2023-2024
Kriz Lukas,ErVi,20,0,1,1,2,0,0,0,0,-,2023-2024
Fredriksson Mikael,FBC,20,0,1,1,4,5,13,-8,11,0.0,2023-2024
Sedin Willy,TPS,17,0,1,1,0,12,11,1,12,0.0,2023-2024
Ranta Justus,Jymy,15,0,1,1,2,7,10,-3,10,0.0,2023-2024
Kareinen Miikka,Indians,13,0,1,1,0,6,5,1,4,0.0,2023-2024
Auvinen Otso,Classic,9,0,1,1,0,0,0,0,0,-,2023-2024
Ainoa Luka,KrP,8,0,1,1,0,5,3,2,0,-,2023-2024
Sieppi Julius,Happee,7,0,1,1,0,3,1,2,0,-,2023-2024
Mustonen Justus,Oilers,7,0,1,1,0,2,2,0,2,0.0,2023-2024
Helin Niilo,Classic,7,0,1,1,0,1,1,0,2,0.0,2023-2024
Jäppinen Amos,ErVi,33,1,0,1,14,11,52,-41,27,3.7,2023-2024
Vaarimo Miko,ErVi,32,1,0,1,4,4,30,-26,26,3.8,2023-2024
Holappa Niko-Petteri,OLS,31,1,0,1,0,23,30,-7,12,8.3,2023-2024
Ilmivalta Topias,FBC,26,1,0,1,0,10,36,-26,13,7.7,2023-2024
Hirvisuo Heikki,TPS,25,1,0,1,2,8,16,-8,9,11.1,2023-2024
Mustonen Juho,OLS,21,1,0,1,0,2,6,-4,8,12.5,2023-2024
Ondruschka Ferdinand,Jymy,17,1,0,1,8,4,7,-3,15,6.7,2023-2024
Karjanlahti Eemeli,SPV,13,1,0,1,2,8,15,-7,11,9.1,2023-2024
Tenho Oskari,KrP,11,1,0,1,0,2,4,-2,9,11.1,2023-2024
Rissanen Aarne,ErVi,9,1,0,1,0,1,6,-5,8,12.5,2023-2024
Kajaala Joona,SPV,8,1,0,1,0,1,1,0,2,50.0,2023-2024
Markkanen Jami,Happee,7,1,0,1,2,2,3,-1,5,20.0,2023-2024
Siekkinen Paavo,Happee,6,1,0,1,0,1,2,-1,3,33.3,2023-2024
Lallukka Ossi,SPV,33,0,0,0,0,0,0,0,0,-,2023-2024
Kuisma Olli,TPS,33,0,0,0,0,0,0,0,0,-,2023-2024
Jokisalo Juuso,Indians,33,0,0,0,0,0,0,0,1,0.0,2023-2024
Sillanpää Oskar,Classic,32,0,0,0,0,0,0,0,0,-,2023-2024
Laakso Elmeri,FBC,32,0,0,0,0,0,0,0,0,-,2023-2024
Jääskeläinen Pietari,Happee,32,0,0,0,2,0,0,0,0,-,2023-2024
Hellsten Rasmus,Oilers,32,0,0,0,0,0,1,-1,0,-,2023-2024
Hasu Rasmus,SPV,32,0,0,0,0,1,0,1,1,0.0,2023-2024
Hanousek Martin,Jymy,32,0,0,0,0,0,0,0,0,-,2023-2024
Aaltokallio Miika,Happee,32,0,0,0,0,0,0,0,0,-,2023-2024
Tuomala Miro,KrP,31,0,0,0,0,0,0,0,0,-,2023-2024
Fälden Oskari,TPS,31,0,0,0,0,1,1,0,0,-,2023-2024
Molkka Valtteri,Classic,30,0,0,0,0,0,4,-4,9,0.0,2023-2024
Beijar Jens,FBC,30,0,0,0,0,0,0,0,1,0.0,2023-2024
Järvinen Pasi,LASB,27,0,0,0,0,0,1,-1,0,-,2023-2024
Lehto Väinö,ErVi,20,0,0,0,0,0,0,0,0,-,2023-2024
Kulmala Kasper,TPS,15,0,0,0,0,0,4,-4,2,0.0,2023-2024
Maksimainen Olli,ErVi,14,0,0,0,0,3,9,-6,5,0.0,2023-2024
Rantala Leevi,ErVi,13,0,0,0,0,0,0,0,0,-,2023-2024
Niemelä Oliver,TPS,13,0,0,0,2,0,4,-4,6,0.0,2023-2024
Koivisto Aatu,FBC,13,0,0,0,0,3,9,-6,8,0.0,2023-2024
Ojala Touko,ErVi,12,0,0,0,2,0,0,0,0,-,2023-2024
Mertsalmi Henri,LASB,11,0,0,0,0,0,1,-1,1,0.0,2023-2024
Huhtakallio Eemeli,Classic,11,0,0,0,0,1,2,-1,2,0.0,2023-2024
Korhonen Teemu,LASB,10,0,0,0,0,0,0,0,2,0.0,2023-2024
Saarinen Miki,KrP,9,0,0,0,0,0,0,0,0,-,2023-2024
Andersson Robin,ErVi,9,0,0,0,0,0,0,0,0,-,2023-2024
Roimela Setti,Indians,8,0,0,0,0,0,2,-2,1,0.0,2023-2024
Mäntyniemi Jimi,Jymy,8,0,0,0,0,2,8,-6,5,0.0,2023-2024
Mäkimarttunen Saku,KrP,8,0,0,0,0,0,1,-1,3,0.0,2023-2024
Vänttinen Oliver,Classic,7,0,0,0,0,1,2,-1,4,0.0,2023-2024
Tuominen Niklas,ErVi,7,0,0,0,0,3,6,-3,3,0.0,2023-2024
Kuoksa Antti,OLS,7,0,0,0,0,0,3,-3,1,0.0,2023-2024
Luukko Joona,Jymy,6,0,0,0,0,0,1,-1,1,0.0,2023-2024
Paananen Joel,Happee,5,0,0,0,0,3,0,3,0,-,2023-2024
Maronen Markus,Indians,5,0,0,0,0,0,1,-1,1,0.0,2023-2024
Siira Jami,OLS,4,0,0,0,0,0,0,0,0,-,2023-2024
Manninen Eetu,Jymy,4,0,0,0,0,0,0,0,0,-,2023-2024
Kivelä Ville,OLS,4,0,0,0,0,0,0,0,1,0.0,2023-2024
Kantola Karo,LASB,4,0,0,0,0,1,1,0,2,0.0,2023-2024
Kallio Emil,Oilers,4,0,0,0,0,0,0,0,0,-,2023-2024
Halmela Teemu,KrP,4,0,0,0,0,1,1,0,4,0.0,2023-2024
Aro Konsta,KrP,4,0,0,0,0,1,0,1,0,-,2023-2024
Sirola Aku,LASB,3,0,0,0,0,0,0,0,0,-,2023-2024
Niemelä Eetu,Oilers,3,0,0,0,2,3,2,1,3,0.0,2023-2024
Luhtala Aatu,SPV,3,0,0,0,0,0,0,0,0,-,2023-2024
Koskinen Valtteri,TPS,3,0,0,0,0,2,0,2,0,-,2023-2024
Huppunen Julius-Emil,Indians,3,0,0,0,0,1,0,1,0,-,2023-2024
Zlesák Ondřej,Oilers,2,0,0,0,0,0,0,0,0,-,2023-2024
Schroderus Tobias,OLS,2,0,0,0,0,0,0,0,0,-,2023-2024
Saarikko Sami,KrP,2,0,0,0,0,0,0,0,0,-,2023-2024
Pokela Matias,Jymy,2,0,0,0,0,0,0,0,0,-,2023-2024
Piisilä Oskari,Indians,2,0,0,0,0,0,0,0,0,-,2023-2024
Paajanen Veikko,TPS,2,0,0,0,0,0,1,-1,0,-,2023-2024
Mankinen Arttu,TPS,2,0,0,0,0,0,0,0,0,-,2023-2024
Kakko Tuomas,OLS,2,0,0,0,0,0,0,0,0,-,2023-2024
Johansson Jerry,FBC,2,0,0,0,0,0,0,0,0,-,2023-2024
Häkkinen Aapo,Happee,2,0,0,0,0,0,0,0,0,-,2023-2024
Honkanen Tobias,FBC,2,0,0,0,0,0,0,0,0,-,2023-2024
Hallbäck Marek,FBC,2,0,0,0,0,0,0,0,0,-,2023-2024
Eskelinen Joni,OLS,2,0,0,0,0,0,0,0,0,-,2023-2024
Ekuri Joonas,TPS,2,0,0,0,0,0,0,0,0,-,2023-2024
Aho Heikki,FBC,2,0,0,0,0,0,0,0,0,-,2023-2024
Soininen Mirko,Jymy,1,0,0,0,0,0,0,0,0,-,2023-2024
Ryytty Valtteri,LASB,1,0,0,0,0,0,0,0,0,-,2023-2024
Rokala Oliver,TPS,1,0,0,0,0,0,0,0,0,-,2023-2024
Rautio Severi,TPS,1,0,0,0,0,0,0,0,0,-,2023-2024
Partanen Elias,KrP,1,0,0,0,0,0,0,0,0,-,2023-2024
Niemi Lauri,OLS,1,0,0,0,0,0,0,0,0,-,2023-2024
Markkula Tuomas,Oilers,1,0,0,0,0,0,0,0,0,-,2023-2024
Liukkonen Teppo,SPV,1,0,0,0,0,0,0,0,0,-,2023-2024
Lepojärvi Eemeli,OLS,1,0,0,0,0,0,0,0,0,-,2023-2024
Lehtinen Jami,TPS,1,0,0,0,0,0,0,0,0,-,2023-2024
Laine Ville-Martti,Jymy,1,0,0,0,0,1,2,-1,1,0.0,2023-2024
Jaaranen Dani,KrP,1,0,0,0,0,3,2,1,3,0.0,2023-2024
Hämäläinen Veeti,LASB,1,0,0,0,0,0,0,0,0,-,2023-2024
Heinonen Valtteri,Oilers,1,0,0,0,0,0,0,0,1,0.0,2023-2024
Hakokorpi Pietu,Oilers,1,0,0,0,0,0,0,0,0,-,2023-2024
Grönfors Samuli,Happee,1,0,0,0,0,0,0,0,0,-,2023-2024
Eronen Aaro,TPS,1,0,0,0,0,0,0,0,0,-,2023-2024
Kotilainen Peter,SPV,32,29,44,73,16,102,47,55,354,8.2,2022-2023
Kailiala Miko,TPS,33,46,24,70,6,110,61,49,237,19.4,2022-2023
Iiskola Heikki,Oilers,31,34,33,67,12,112,50,62,208,16.3,2022-2023
Laakso Mikko,KrP,33,32,31,63,8,112,62,50,154,20.8,2022-2023
Johansson Sami,Classic,32,38,22,60,12,103,60,43,292,13.0,2022-2023
Hautaniemi Mikko,TPS,32,48,12,60,2,109,41,68,232,20.7,2022-2023
Rantala Joona,KrP,33,32,27,59,14,116,74,42,207,15.5,2022-2023
Kainulainen Justus,Oilers,32,38,21,59,12,122,64,58,386,9.8,2022-2023
