PELAAJA,JOUKKUE,O,M,S,P,R,+,-,+/-,L,L%,kausi
Karvonen Valte,OLS,8,1,2,3,0,9,10,-1,10,10.0,2021-2022
Ainoa Luka,ErVi,25,2,1,3,2,25,35,-10,31,6.5,2021-2022
Puisto Tuomas,Karhut,22,2,1,3,8,19,35,-16,21,9.5,2021-2022
Auroila Jukkapekka,LASB,20,2,1,3,4,9,20,-11,19,10.5,2021-2022
Salonen Janne,Indians,25,3,0,3,4,18,22,-4,15,20.0,2021-2022
Pekari Elias,Oilers,24,3,0,3,4,14,15,-1,44,6.8,2021-2022
Kotka Timi,LASB,15,3,0,3,2,6,13,-7,17,17.6,2021-2022
Sipilä Nemo,ErVi,26,0,2,2,0,26,36,-10,0,-,2021-2022
Pohjonen Santtu,LASB,25,0,2,2,2,3,5,-2,0,-,2021-2022
Jääskeläinen Pietari,Steelers,23,0,2,2,0,0,0,0,0,-,2021-2022
Lindstedt Tino,KrP,16,0,2,2,2,10,10,0,4,0.0,2021-2022
Larte Joona,Oilers,13,0,2,2,0,8,8,0,2,0.0,2021-2022
Alaluusua Samuli,Indians,12,0,2,2,2,16,14,2,9,0.0,2021-2022
Metsälä Teemu,ErVi,10,0,2,2,0,11,20,-9,31,0.0,2021-2022
Pietinen Matias,LASB,9,0,2,2,12,3,7,-4,4,0.0,2021-2022
Savolainen Atte,OLS,3,0,2,2,0,5,3,2,1,0.0,2021-2022
Hyvärinen Luukas,OLS,3,0,2,2,0,5,2,3,7,0.0,2021-2022
Yrjänen Roope,Steelers,26,1,1,2,4,6,39,-33,28,3.6,2021-2022
Levola Daniel,Karhut,25,1,1,2,4,27,36,-9,16,6.3,2021-2022
Turula Veli-Pekka,ErVi,23,1,1,2,0,5,13,-8,20,5.0,2021-2022
Pollari Miika,Jymy,23,1,1,2,8,24,53,-29,10,10.0,2021-2022
Salokangas Julius,LASB,18,1,1,2,2,10,15,-5,16,6.3,2021-2022
Jokela Olli,Oilers,17,1,1,2,2,13,6,7,12,8.3,2021-2022
Loippo Leevi,Tiikerit,16,1,1,2,6,7,29,-22,22,4.5,2021-2022
Wikström Roope,KrP,10,1,1,2,0,2,6,-4,6,16.7,2021-2022
Pylväläinen Arttu,Happee,10,1,1,2,24,6,2,4,2,50.0,2021-2022
Helin Niilo,Classic,10,1,1,2,0,3,1,2,6,16.7,2021-2022
Ahola Timi,Steelers,24,2,0,2,4,10,40,-30,15,13.3,2021-2022
Lehtimäki Roni,Tiikerit,10,2,0,2,2,2,11,-9,11,18.2,2021-2022
Karjula Joona,OLS,3,2,0,2,0,3,1,2,5,40.0,2021-2022
